Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1740863778.6252015,4616.0,17616.0,-12620.0,10394.0,-30854.0,-6536.0
1740863778.6444693,10468.0,18420.0,-9328.0,11523.0,-32768.0,-6307.0
1740863778.662281,10364.0,18080.0,-8248.0,12147.0,-32768.0,-4922.0
1740863778.6814888,9180.0,18880.0,-8012.0,11529.0,-32768.0,-4803.0
1740863778.6997356,9652.0,18120.0,-10076.0,11206.0,-32768.0,-4426.0
1740863778.7167964,11364.0,16384.0,-11664.0,12036.0,-32768.0,-2212.0
1740863778.7355845,12472.0,16140.0,-12108.0,13367.0,-32722.0,3445.0
1740863778.7543955,12956.0,16824.0,-12596.0,14553.0,-22330.0,11443.0
1740863778.7717052,10364.0,17692.0,-14108.0,15471.0,-14327.0,20024.0
1740863778.7903428,9824.0,16568.0,-14580.0,17150.0,-14027.0,27926.0
1740863778.8085375,9472.0,16848.0,-13684.0,18936.0,-7758.0,32767.0
1740863778.8266227,5876.0,18908.0,-12132.0,19725.0,-2654.0,32767.0
1740863778.8442664,1724.0,20416.0,-11616.0,18647.0,438.0,32767.0
1740863778.861999,-492.0,20672.0,-11728.0,15462.0,2814.0,32767.0
1740863778.8809156,-612.0,19504.0,-12980.0,11118.0,2580.0,32767.0
1740863778.8998363,-816.0,17540.0,-15556.0,8507.0,639.0,32767.0
1740863778.9176183,-668.0,15388.0,-16616.0,9635.0,879.0,32767.0
1740863778.9364939,-3064.0,14632.0,-16080.0,10325.0,-283.0,32767.0
1740863778.9552975,-5768.0,13724.0,-17344.0,9752.0,-520.0,32767.0
1740863778.973089,-5768.0,13724.0,-17344.0,9752.0,-520.0,32767.0
1740863778.9917066,-5768.0,13724.0,-17344.0,9752.0,-520.0,32767.0
1740863779.0097172,-5768.0,13724.0,-17344.0,9752.0,-520.0,32767.0
1740863779.0275223,-5768.0,13724.0,-17344.0,9752.0,-520.0,32767.0
1740863779.0452795,-5768.0,13724.0,-17344.0,9752.0,-520.0,32767.0
1740863779.062358,-5768.0,13724.0,-17344.0,9752.0,-520.0,32767.0
1740863779.0820122,-5768.0,13724.0,-17344.0,9752.0,-520.0,32767.0
1740863779.100621,-5768.0,13724.0,-17344.0,9752.0,-520.0,32767.0
1740863779.1185894,-5768.0,13724.0,-17344.0,9752.0,-520.0,32767.0
1740863779.1360245,-5768.0,13724.0,-17344.0,9752.0,-520.0,32767.0
1740863779.1560915,-5768.0,13724.0,-17344.0,9752.0,-520.0,32767.0
1740863779.1743586,-5768.0,13724.0,-17344.0,9752.0,-520.0,32767.0
1740863779.1920946,-5768.0,13724.0,-17344.0,9752.0,-520.0,32767.0
1740863779.2106464,-5768.0,13724.0,-17344.0,9752.0,-520.0,32767.0
1740863779.2283146,-5768.0,13724.0,-17344.0,9752.0,-520.0,32767.0
1740863779.2463388,-5768.0,13724.0,-17344.0,9752.0,-520.0,32767.0
1740863779.2640038,-5768.0,13724.0,-17344.0,9752.0,-520.0,32767.0
1740863779.2829149,-5768.0,13724.0,-17344.0,9752.0,-520.0,32767.0
1740863779.3019583,-5768.0,13724.0,-17344.0,9752.0,-520.0,32767.0
1740863779.3196623,-5768.0,13724.0,-17344.0,9752.0,-520.0,32767.0
1740863779.3377283,-5768.0,13724.0,-17344.0,9752.0,-520.0,32767.0
1740863779.355301,-5768.0,13724.0,-17344.0,9752.0,-520.0,32767.0
1740863779.3739035,-5768.0,13724.0,-17344.0,9752.0,-520.0,32767.0
1740863779.391459,-5768.0,13724.0,-17344.0,9752.0,-520.0,32767.0
1740863779.4093502,-7244.0,12732.0,-19512.0,9056.0,202.0,31700.0
1740863779.4274302,-112.0,-4212.0,84.0,20602.0,-13900.0,-32768.0
1740863779.4455547,2664.0,268.0,2000.0,21165.0,-24255.0,-32768.0
1740863779.4634213,10080.0,6744.0,3836.0,12693.0,-32768.0,-32768.0
1740863779.4808633,18240.0,7980.0,984.0,43.0,-32768.0,-32768.0
1740863779.498406,24248.0,5680.0,-4780.0,-9766.0,-32768.0,-32768.0
1740863779.5164661,23228.0,5756.0,-9572.0,-13456.0,-32768.0,-32768.0
1740863779.5344145,24212.0,5992.0,-13264.0,-12778.0,-29360.0,-32768.0
1740863779.5527666,24476.0,5984.0,-16212.0,-10044.0,-21619.0,-32768.0
1740863779.5704682,27592.0,4888.0,-17976.0,-6437.0,-17983.0,-32768.0
1740863779.588613,29264.0,2604.0,-17840.0,-1680.0,-12907.0,-23747.0
1740863779.6065118,30148.0,100.0,-15536.0,3358.0,-5418.0,-11049.0
1740863779.6237538,27476.0,-1160.0,-11068.0,6582.0,1627.0,1716.0
